"Population January 1st 1977-2019 <em>[BEEST1]</em>"

"age","residence","place of birth","gender","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"0","Total","Total","Men",428,443,410,427,507,510,529,494,519,564,531,541,582,580,609,591,580,608,554,541,516,552,497,430,415,416,442,433,405,448,402,431,423,469,444,427,376,437,403,431,425,443,423
"0","Total","Total","Women",392,391,406,434,463,506,491,452,477,551,497,522,605,576,607,566,587,543,554,530,508,517,453,445,403,421,432,380,393,425,423,396,379,418,418,378,382,366,396,411,394,404,388
"1","Total","Total","Men",398,426,448,427,424,527,510,527,496,524,556,526,541,566,587,598,576,564,610,554,538,511,543,492,452,438,454,458,459,440,442,396,433,434,467,438,420,373,430,393,428,424,436
"1","Total","Total","Women",431,399,402,412,438,480,507,500,452,477,542,504,518,599,578,587,562,590,531,546,525,494,518,450,459,426,465,461,414,425,417,419,391,374,424,408,371,378,351,382,403,383,407
"2","Total","Total","Men",414,395,439,441,431,436,518,522,520,492,512,546,527,540,554,588,597,571,556,611,542,526,508,544,491,453,432,451,455,461,435,433,402,423,429,466,426,421,370,430,402,427,423
"2","Total","Total","Women",375,416,393,403,419,449,481,511,494,456,472,541,507,526,600,557,581,561,585,531,543,515,497,515,461,455,427,462,459,414,428,413,412,390,374,418,400,362,372,345,381,401,385
"3","Total","Total","Men",438,407,391,452,451,425,438,515,521,521,486,517,542,525,535,546,579,591,566,560,599,541,525,501,545,481,454,435,448,447,457,435,424,387,427,429,463,423,409,376,436,392,424
"3","Total","Total","Women",399,358,416,376,412,409,462,466,510,486,446,479,532,506,521,593,549,581,561,582,532,529,514,489,515,468,456,419,462,455,403,416,410,409,388,372,408,398,355,366,355,382,398
"4","Total","Total","Men",472,428,408,381,441,458,424,432,509,518,506,492,509,547,521,530,543,570,589,558,565,591,533,521,494,539,480,455,432,446,446,447,427,414,376,420,424,457,414,406,375,435,391
"4","Total","Total","Women",417,378,358,406,382,420,397,459,450,505,481,445,465,535,507,511,585,549,571,557,571,523,524,510,486,506,454,451,415,444,456,394,407,410,416,380,366,400,398,350,368,352,374
