"Deaths and mean population 1977-2018 <em>[BEEBBDM1]</em>"

"place of birth","gender","age","type","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Greenland","Men","0","Death",12,14,17,17,14,17,19,16,15,16,13,11,15,24,20,6,18,9,7,12,9,12,10,9,4,7,5,9,4,7,5,4,1,7,6,4,5,3,8,5,5,3
"Greenland","Men","1","Death",0,1,3,1,1,1,2,0,0,3,4,0,2,1,0,2,2,0,2,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"Greenland","Men","2","Death",1,0,2,0,0,2,0,0,2,2,2,0,2,0,2,1,2,0,0,1,1,1,1,0,1,3,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
"Greenland","Men","3","Death",0,1,0,1,0,1,2,1,0,2,1,0,0,2,0,0,0,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Greenland","Men","4","Death",0,1,0,0,1,1,0,1,0,1,2,1,2,0,0,3,0,1,1,3,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
"Greenland","Men","5","Death",1,0,0,2,2,0,1,2,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0
"Greenland","Men","6","Death",1,0,1,2,1,0,0,0,0,1,1,1,1,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Greenland","Men","7","Death",1,0,2,1,1,0,0,1,2,0,0,0,1,2,2,0,0,0,0,0,1,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
"Greenland","Men","8","Death",0,0,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenland","Men","9","Death",0,2,3,2,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"Greenland","Men","10","Death",1,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Greenland","Men","11","Death",0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Greenland","Men","12","Death",3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Greenland","Men","13","Death",4,0,2,1,1,0,1,0,2,0,3,0,0,0,1,0,0,1,1,0,0,1,1,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"Greenland","Men","14","Death",2,2,2,2,0,2,5,2,0,0,2,2,1,0,0,0,0,1,1,0,2,1,0,2,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"Greenland","Men","15","Death",5,1,1,3,1,2,0,1,0,2,2,0,1,1,2,0,2,1,3,1,1,1,2,3,0,1,0,1,0,0,2,2,1,0,0,1,0,0,0,2,1,0
"Greenland","Men","16","Death",4,3,4,2,1,3,2,2,2,2,1,0,0,1,1,0,1,5,2,3,1,1,0,1,1,1,1,1,1,2,0,0,3,1,2,1,0,1,1,0,3,0
"Greenland","Men","17","Death",0,1,3,1,0,4,0,3,1,2,2,2,0,5,1,0,1,2,3,2,1,3,2,3,1,2,1,3,2,1,1,0,0,0,5,0,1,3,2,0,3,2
"Greenland","Men","18","Death",4,3,5,5,5,5,3,5,5,3,8,4,6,4,6,4,2,3,1,3,2,5,3,1,3,2,2,4,0,1,2,1,3,2,4,1,1,0,2,2,1,2
"Greenland","Men","19","Death",3,5,2,5,5,4,5,4,4,6,5,2,3,5,2,3,3,3,1,3,3,2,3,4,4,3,3,3,2,4,1,3,1,3,3,2,5,2,2,1,1,5
"Greenland","Men","20","Death",5,5,1,6,3,6,3,6,7,8,3,7,6,3,1,2,0,0,0,3,1,3,2,1,3,3,3,3,6,3,3,1,1,4,3,1,2,1,1,1,0,2
"Greenland","Men","21","Death",7,1,3,7,6,5,4,5,5,3,7,7,2,4,3,2,2,3,0,2,2,1,4,1,2,4,3,3,3,2,1,3,1,5,2,5,0,0,4,2,1,2
"Greenland","Men","22","Death",1,7,4,4,4,7,5,12,6,5,2,4,5,9,6,4,3,2,3,3,5,1,3,1,2,1,6,2,2,1,1,1,0,3,1,1,3,5,1,1,3,0
"Greenland","Men","23","Death",5,1,8,2,12,5,3,2,7,3,6,7,7,9,3,8,2,2,0,2,0,2,3,1,1,3,1,2,3,0,2,2,0,4,1,0,3,0,3,5,0,1
"Greenland","Men","24","Death",1,5,4,2,2,4,5,6,3,4,5,2,4,3,5,2,2,3,2,4,1,1,0,1,2,1,0,5,1,2,2,0,3,1,0,2,2,2,1,1,1,0
"Greenland","Men","25","Death",1,3,1,3,6,5,7,3,4,4,3,6,6,4,2,3,1,4,6,1,0,2,1,1,1,1,0,1,1,1,0,2,1,0,2,2,2,2,1,0,0,3
"Greenland","Men","26","Death",2,2,2,1,3,2,2,3,8,2,4,4,3,6,3,7,5,3,3,1,4,1,4,1,0,0,1,2,0,2,1,2,4,2,0,2,1,1,0,2,0,2
"Greenland","Men","27","Death",2,0,4,3,2,5,2,3,7,3,1,0,3,3,1,3,1,4,0,4,7,2,2,2,1,2,1,3,0,2,0,1,2,0,0,2,0,3,1,3,2,2
"Greenland","Men","28","Death",0,2,3,0,1,2,1,3,1,4,1,9,2,0,5,2,4,2,3,2,4,5,0,2,1,2,1,0,0,0,2,1,3,2,2,0,2,0,0,0,1,1
"Greenland","Men","29","Death",3,0,1,4,3,2,3,4,1,0,1,7,3,7,4,1,3,3,1,5,4,3,2,3,1,1,0,0,5,1,1,1,1,1,1,1,1,2,2,1,2,1
"Greenland","Men","30","Death",0,2,4,3,3,6,1,1,4,1,2,3,4,1,3,6,2,4,3,2,1,1,2,2,1,0,0,2,2,0,0,0,0,2,0,2,0,2,1,2,0,2
"Greenland","Men","31","Death",2,2,1,4,2,1,7,2,2,2,1,4,2,4,0,4,2,2,0,1,3,4,2,1,3,1,0,0,2,1,1,0,2,3,1,2,2,0,1,1,1,0
"Greenland","Men","32","Death",0,0,0,2,1,2,1,0,0,4,3,4,1,3,4,4,1,3,4,5,0,2,3,2,3,5,0,0,0,1,0,1,0,2,1,0,0,1,1,0,0,0
"Greenland","Men","33","Death",2,0,1,1,0,1,1,2,3,3,0,1,1,2,3,1,2,4,2,1,3,4,1,2,3,2,2,0,1,0,2,2,1,1,0,1,1,0,1,2,2,1
"Greenland","Men","34","Death",0,2,2,4,1,1,0,2,2,1,1,1,0,3,4,2,1,3,4,1,2,3,2,1,3,4,3,2,0,1,0,1,2,2,1,0,1,0,0,0,0,1
"Greenland","Men","35","Death",1,2,3,1,0,2,1,1,4,5,2,1,2,1,1,2,5,3,5,1,1,1,2,2,2,2,3,2,3,0,2,1,0,2,2,0,0,1,1,2,2,1
"Greenland","Men","36","Death",3,3,1,1,3,1,2,2,3,1,3,1,1,3,2,1,1,1,3,2,2,8,4,2,1,2,2,1,1,1,0,1,1,2,1,1,2,0,2,0,1,0
"Greenland","Men","37","Death",1,2,1,3,2,4,0,2,0,2,2,3,2,3,0,3,1,1,3,3,6,0,2,1,0,4,3,0,4,2,3,0,1,1,0,2,0,0,0,1,0,1
"Greenland","Men","38","Death",1,5,1,4,1,2,1,3,4,1,2,1,2,1,2,3,1,3,2,1,2,3,3,2,2,0,3,2,3,4,2,2,0,1,3,0,0,3,0,3,0,1
