"Migrations by municipality and age 1993-2018 <em>[BEEBBIU2]</em>"

"age","municipality","gender","migration","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"0","Total","Men","Immigrations",15,11,13,19,24,22,15,12,12,14,7,11,21,12,14,12,14,14,14,7,8,14,14,10,6,12
"0","Total","Men","Emigrations",24,17,24,23,24,19,21,17,26,11,27,21,23,15,20,14,13,11,21,19,15,17,18,13,11,15
"0","Total","Women","Immigrations",7,9,15,14,13,11,12,13,15,9,11,15,17,23,15,16,10,25,8,8,7,9,9,14,12,16
"0","Total","Women","Emigrations",13,20,20,17,21,22,20,17,19,15,19,17,26,20,20,21,15,15,11,23,13,19,17,16,19,10
"1","Total","Men","Immigrations",15,19,17,17,20,10,13,16,20,16,17,18,18,20,19,17,20,11,17,15,8,11,16,19,14,11
"1","Total","Men","Emigrations",28,16,11,23,24,23,20,13,13,16,13,13,19,25,28,13,19,12,18,21,15,16,17,14,14,21
"1","Total","Women","Immigrations",15,15,18,20,11,24,17,18,7,18,11,17,14,16,14,13,15,18,11,16,16,8,12,12,11,11
"1","Total","Women","Emigrations",18,23,24,29,27,18,13,11,16,10,11,11,19,23,22,16,9,14,21,22,17,18,16,15,12,10
"2","Total","Men","Immigrations",18,12,18,12,21,15,16,15,6,8,13,12,14,12,9,16,11,17,18,9,12,12,8,21,15,11
"2","Total","Men","Emigrations",17,14,16,24,28,16,20,20,15,12,15,11,21,18,18,15,21,17,19,23,12,15,11,9,20,13
"2","Total","Women","Immigrations",18,21,12,21,12,16,10,12,16,10,8,16,21,16,11,8,12,13,16,13,7,11,9,17,9,17
"2","Total","Women","Emigrations",15,22,9,17,23,17,21,14,11,8,20,18,15,16,25,18,18,14,21,21,13,11,14,10,15,13
"3","Total","Men","Immigrations",10,11,16,16,19,13,16,14,16,9,9,16,12,14,22,11,9,12,7,12,13,6,12,12,9,18
