age,triangle,sex,time,count
13,Lower,Female,2011,0
13,Upper,Female,2011,0
14,Lower,Female,2011,1
14,Upper,Female,2011,0
15,Lower,Female,2011,0
15,Upper,Female,2011,1
16,Lower,Female,2011,3
16,Upper,Female,2011,1
17,Lower,Female,2011,7
17,Upper,Female,2011,4
18,Lower,Female,2011,4
18,Upper,Female,2011,12
19,Lower,Female,2011,5
19,Upper,Female,2011,8
20,Lower,Female,2011,9
20,Upper,Female,2011,10
21,Lower,Female,2011,11
21,Upper,Female,2011,11
22,Lower,Female,2011,16
22,Upper,Female,2011,13
23,Lower,Female,2011,9
23,Upper,Female,2011,10
24,Lower,Female,2011,13
24,Upper,Female,2011,14
25,Lower,Female,2011,17
25,Upper,Female,2011,9
26,Lower,Female,2011,6
26,Upper,Female,2011,13
27,Lower,Female,2011,17
27,Upper,Female,2011,18
28,Lower,Female,2011,7
28,Upper,Female,2011,7
29,Lower,Female,2011,11
29,Upper,Female,2011,13
30,Lower,Female,2011,16
30,Upper,Female,2011,6
31,Lower,Female,2011,13
31,Upper,Female,2011,7
32,Lower,Female,2011,7
32,Upper,Female,2011,7
33,Lower,Female,2011,6
33,Upper,Female,2011,5
34,Lower,Female,2011,7
34,Upper,Female,2011,3
35,Lower,Female,2011,4
35,Upper,Female,2011,2
36,Lower,Female,2011,3
36,Upper,Female,2011,4
37,Lower,Female,2011,3
37,Upper,Female,2011,4
38,Lower,Female,2011,1
38,Upper,Female,2011,1
39,Lower,Female,2011,1
39,Upper,Female,2011,1
40,Lower,Female,2011,0
40,Upper,Female,2011,0
41,Lower,Female,2011,0
41,Upper,Female,2011,3
42,Lower,Female,2011,0
42,Upper,Female,2011,0
43,Lower,Female,2011,0
43,Upper,Female,2011,0
44,Lower,Female,2011,0
44,Upper,Female,2011,0
45,Lower,Female,2011,0
45,Upper,Female,2011,0
46,Lower,Female,2011,0
46,Upper,Female,2011,0
47,Lower,Female,2011,0
47,Upper,Female,2011,0
48,Lower,Female,2011,0
48,Upper,Female,2011,0
49,Lower,Female,2011,0
49,Upper,Female,2011,0
50,Lower,Female,2011,0
50,Upper,Female,2011,0
13,Lower,Male,2011,0
13,Upper,Male,2011,0
14,Lower,Male,2011,0
14,Upper,Male,2011,0
15,Lower,Male,2011,0
15,Upper,Male,2011,1
16,Lower,Male,2011,2
16,Upper,Male,2011,2
17,Lower,Male,2011,6
17,Upper,Male,2011,6
18,Lower,Male,2011,6
18,Upper,Male,2011,9
19,Lower,Male,2011,7
19,Upper,Male,2011,7
20,Lower,Male,2011,12
20,Upper,Male,2011,16
21,Lower,Male,2011,12
21,Upper,Male,2011,9
22,Lower,Male,2011,15
22,Upper,Male,2011,11
23,Lower,Male,2011,10
23,Upper,Male,2011,9
24,Lower,Male,2011,18
24,Upper,Male,2011,11
25,Lower,Male,2011,11
25,Upper,Male,2011,13
26,Lower,Male,2011,10
26,Upper,Male,2011,13
27,Lower,Male,2011,17
27,Upper,Male,2011,20
28,Lower,Male,2011,8
28,Upper,Male,2011,9
29,Lower,Male,2011,13
29,Upper,Male,2011,14
30,Lower,Male,2011,11
30,Upper,Male,2011,9
31,Lower,Male,2011,18
31,Upper,Male,2011,8
32,Lower,Male,2011,15
32,Upper,Male,2011,5
33,Lower,Male,2011,7
33,Upper,Male,2011,10
34,Lower,Male,2011,6
34,Upper,Male,2011,3
35,Lower,Male,2011,2
35,Upper,Male,2011,5
36,Lower,Male,2011,9
36,Upper,Male,2011,4
37,Lower,Male,2011,5
37,Upper,Male,2011,3
38,Lower,Male,2011,4
38,Upper,Male,2011,3
39,Lower,Male,2011,3
39,Upper,Male,2011,1
40,Lower,Male,2011,2
40,Upper,Male,2011,0
41,Lower,Male,2011,2
41,Upper,Male,2011,0
42,Lower,Male,2011,1
42,Upper,Male,2011,0
43,Lower,Male,2011,2
43,Upper,Male,2011,1
44,Lower,Male,2011,1
44,Upper,Male,2011,0
45,Lower,Male,2011,0
45,Upper,Male,2011,0
46,Lower,Male,2011,0
46,Upper,Male,2011,0
47,Lower,Male,2011,0
47,Upper,Male,2011,0
48,Lower,Male,2011,0
48,Upper,Male,2011,0
49,Lower,Male,2011,0
49,Upper,Male,2011,0
50,Lower,Male,2011,0
50,Upper,Male,2011,0
13,Lower,Female,2012,0
13,Upper,Female,2012,0
14,Lower,Female,2012,0
14,Upper,Female,2012,0
15,Lower,Female,2012,2
15,Upper,Female,2012,0
16,Lower,Female,2012,1
16,Upper,Female,2012,1
17,Lower,Female,2012,3
17,Upper,Female,2012,4
18,Lower,Female,2012,6
18,Upper,Female,2012,12
19,Lower,Female,2012,8
19,Upper,Female,2012,12
20,Lower,Female,2012,15
20,Upper,Female,2012,10
21,Lower,Female,2012,13
21,Upper,Female,2012,7
22,Lower,Female,2012,13
22,Upper,Female,2012,14
23,Lower,Female,2012,13
23,Upper,Female,2012,10
24,Lower,Female,2012,15
24,Upper,Female,2012,10
25,Lower,Female,2012,11
25,Upper,Female,2012,8
26,Lower,Female,2012,17
26,Upper,Female,2012,12
27,Lower,Female,2012,15
27,Upper,Female,2012,11
28,Lower,Female,2012,10
28,Upper,Female,2012,13
29,Lower,Female,2012,11
29,Upper,Female,2012,12
30,Lower,Female,2012,9
30,Upper,Female,2012,6
31,Lower,Female,2012,7
31,Upper,Female,2012,9
32,Lower,Female,2012,12
32,Upper,Female,2012,9
33,Lower,Female,2012,4
33,Upper,Female,2012,5
34,Lower,Female,2012,3
34,Upper,Female,2012,5
35,Lower,Female,2012,2
35,Upper,Female,2012,6
36,Lower,Female,2012,2
36,Upper,Female,2012,5
37,Lower,Female,2012,2
37,Upper,Female,2012,1
38,Lower,Female,2012,2
38,Upper,Female,2012,5
39,Lower,Female,2012,3
39,Upper,Female,2012,3
40,Lower,Female,2012,0
40,Upper,Female,2012,3
41,Lower,Female,2012,1
41,Upper,Female,2012,0
42,Lower,Female,2012,2
42,Upper,Female,2012,0
43,Lower,Female,2012,0
43,Upper,Female,2012,1
44,Lower,Female,2012,0
44,Upper,Female,2012,0
45,Lower,Female,2012,1
45,Upper,Female,2012,0
46,Lower,Female,2012,0
46,Upper,Female,2012,0
47,Lower,Female,2012,0
47,Upper,Female,2012,0
48,Lower,Female,2012,0
48,Upper,Female,2012,0
49,Lower,Female,2012,0
49,Upper,Female,2012,0
50,Lower,Female,2012,0
50,Upper,Female,2012,0
13,Lower,Male,2012,0
13,Upper,Male,2012,0
14,Lower,Male,2012,0
14,Upper,Male,2012,0
15,Lower,Male,2012,0
15,Upper,Male,2012,2
16,Lower,Male,2012,1
16,Upper,Male,2012,1
17,Lower,Male,2012,1
17,Upper,Male,2012,6
18,Lower,Male,2012,4
18,Upper,Male,2012,5
19,Lower,Male,2012,6
19,Upper,Male,2012,11
20,Lower,Male,2012,13
20,Upper,Male,2012,13
21,Lower,Male,2012,12
21,Upper,Male,2012,14
22,Lower,Male,2012,8
22,Upper,Male,2012,12
23,Lower,Male,2012,9
23,Upper,Male,2012,16
24,Lower,Male,2012,15
24,Upper,Male,2012,10
25,Lower,Male,2012,13
25,Upper,Male,2012,12
26,Lower,Male,2012,12
26,Upper,Male,2012,12
27,Lower,Male,2012,9
27,Upper,Male,2012,9
28,Lower,Male,2012,9
28,Upper,Male,2012,11
29,Lower,Male,2012,12
29,Upper,Male,2012,15
30,Lower,Male,2012,12
30,Upper,Male,2012,13
31,Lower,Male,2012,6
31,Upper,Male,2012,3
32,Lower,Male,2012,8
32,Upper,Male,2012,13
33,Lower,Male,2012,8
33,Upper,Male,2012,4
34,Lower,Male,2012,7
34,Upper,Male,2012,3
35,Lower,Male,2012,5
35,Upper,Male,2012,2
36,Lower,Male,2012,7
36,Upper,Male,2012,5
37,Lower,Male,2012,2
37,Upper,Male,2012,0
38,Lower,Male,2012,4
38,Upper,Male,2012,2
39,Lower,Male,2012,4
39,Upper,Male,2012,2
40,Lower,Male,2012,0
40,Upper,Male,2012,1
41,Lower,Male,2012,2
41,Upper,Male,2012,0
42,Lower,Male,2012,1
42,Upper,Male,2012,1
43,Lower,Male,2012,0
43,Upper,Male,2012,0
44,Lower,Male,2012,0
44,Upper,Male,2012,0
45,Lower,Male,2012,1
45,Upper,Male,2012,0
46,Lower,Male,2012,0
46,Upper,Male,2012,0
47,Lower,Male,2012,0
47,Upper,Male,2012,0
48,Lower,Male,2012,0
48,Upper,Male,2012,0
49,Lower,Male,2012,0
49,Upper,Male,2012,0
50,Lower,Male,2012,0
50,Upper,Male,2012,0
13,Lower,Female,2013,0
13,Upper,Female,2013,0
14,Lower,Female,2013,0
14,Upper,Female,2013,0
15,Lower,Female,2013,1
15,Upper,Female,2013,0
16,Lower,Female,2013,0
16,Upper,Female,2013,1
17,Lower,Female,2013,6
17,Upper,Female,2013,5
18,Lower,Female,2013,5
18,Upper,Female,2013,5
19,Lower,Female,2013,4
19,Upper,Female,2013,7
20,Lower,Female,2013,10
20,Upper,Female,2013,18
21,Lower,Female,2013,11
21,Upper,Female,2013,12
22,Lower,Female,2013,9
22,Upper,Female,2013,11
23,Lower,Female,2013,19
23,Upper,Female,2013,16
24,Lower,Female,2013,14
24,Upper,Female,2013,16
25,Lower,Female,2013,17
25,Upper,Female,2013,9
26,Lower,Female,2013,10
26,Upper,Female,2013,13
27,Lower,Female,2013,5
27,Upper,Female,2013,9
28,Lower,Female,2013,11
28,Upper,Female,2013,12
29,Lower,Female,2013,9
29,Upper,Female,2013,5
30,Lower,Female,2013,5
30,Upper,Female,2013,10
31,Lower,Female,2013,8
31,Upper,Female,2013,12
32,Lower,Female,2013,5
32,Upper,Female,2013,8
