age,triangle,sex,region,time,count
13,Lower,Female,d. Avannaata kommunia,2011,0
13,Upper,Female,d. Avannaata kommunia,2011,0
14,Lower,Female,d. Avannaata kommunia,2011,0
14,Upper,Female,d. Avannaata kommunia,2011,0
15,Lower,Female,d. Avannaata kommunia,2011,0
15,Upper,Female,d. Avannaata kommunia,2011,0
16,Lower,Female,d. Avannaata kommunia,2011,1
16,Upper,Female,d. Avannaata kommunia,2011,1
17,Lower,Female,d. Avannaata kommunia,2011,1
17,Upper,Female,d. Avannaata kommunia,2011,1
18,Lower,Female,d. Avannaata kommunia,2011,0
18,Upper,Female,d. Avannaata kommunia,2011,4
19,Lower,Female,d. Avannaata kommunia,2011,1
19,Upper,Female,d. Avannaata kommunia,2011,4
20,Lower,Female,d. Avannaata kommunia,2011,2
20,Upper,Female,d. Avannaata kommunia,2011,2
21,Lower,Female,d. Avannaata kommunia,2011,1
21,Upper,Female,d. Avannaata kommunia,2011,2
22,Lower,Female,d. Avannaata kommunia,2011,5
22,Upper,Female,d. Avannaata kommunia,2011,1
23,Lower,Female,d. Avannaata kommunia,2011,3
23,Upper,Female,d. Avannaata kommunia,2011,5
24,Lower,Female,d. Avannaata kommunia,2011,1
24,Upper,Female,d. Avannaata kommunia,2011,2
25,Lower,Female,d. Avannaata kommunia,2011,3
25,Upper,Female,d. Avannaata kommunia,2011,1
26,Lower,Female,d. Avannaata kommunia,2011,3
26,Upper,Female,d. Avannaata kommunia,2011,4
27,Lower,Female,d. Avannaata kommunia,2011,3
27,Upper,Female,d. Avannaata kommunia,2011,2
28,Lower,Female,d. Avannaata kommunia,2011,1
28,Upper,Female,d. Avannaata kommunia,2011,2
29,Lower,Female,d. Avannaata kommunia,2011,2
29,Upper,Female,d. Avannaata kommunia,2011,2
30,Lower,Female,d. Avannaata kommunia,2011,2
30,Upper,Female,d. Avannaata kommunia,2011,0
31,Lower,Female,d. Avannaata kommunia,2011,5
31,Upper,Female,d. Avannaata kommunia,2011,1
32,Lower,Female,d. Avannaata kommunia,2011,1
32,Upper,Female,d. Avannaata kommunia,2011,1
33,Lower,Female,d. Avannaata kommunia,2011,0
33,Upper,Female,d. Avannaata kommunia,2011,0
34,Lower,Female,d. Avannaata kommunia,2011,1
34,Upper,Female,d. Avannaata kommunia,2011,1
35,Lower,Female,d. Avannaata kommunia,2011,0
35,Upper,Female,d. Avannaata kommunia,2011,0
36,Lower,Female,d. Avannaata kommunia,2011,0
36,Upper,Female,d. Avannaata kommunia,2011,1
37,Lower,Female,d. Avannaata kommunia,2011,1
37,Upper,Female,d. Avannaata kommunia,2011,1
38,Lower,Female,d. Avannaata kommunia,2011,0
38,Upper,Female,d. Avannaata kommunia,2011,0
39,Lower,Female,d. Avannaata kommunia,2011,0
39,Upper,Female,d. Avannaata kommunia,2011,0
40,Lower,Female,d. Avannaata kommunia,2011,0
40,Upper,Female,d. Avannaata kommunia,2011,0
41,Lower,Female,d. Avannaata kommunia,2011,0
41,Upper,Female,d. Avannaata kommunia,2011,1
42,Lower,Female,d. Avannaata kommunia,2011,0
42,Upper,Female,d. Avannaata kommunia,2011,0
43,Lower,Female,d. Avannaata kommunia,2011,0
43,Upper,Female,d. Avannaata kommunia,2011,0
44,Lower,Female,d. Avannaata kommunia,2011,0
44,Upper,Female,d. Avannaata kommunia,2011,0
45,Lower,Female,d. Avannaata kommunia,2011,0
45,Upper,Female,d. Avannaata kommunia,2011,0
46,Lower,Female,d. Avannaata kommunia,2011,0
46,Upper,Female,d. Avannaata kommunia,2011,0
47,Lower,Female,d. Avannaata kommunia,2011,0
47,Upper,Female,d. Avannaata kommunia,2011,0
48,Lower,Female,d. Avannaata kommunia,2011,0
48,Upper,Female,d. Avannaata kommunia,2011,0
49,Lower,Female,d. Avannaata kommunia,2011,0
49,Upper,Female,d. Avannaata kommunia,2011,0
50,Lower,Female,d. Avannaata kommunia,2011,0
50,Upper,Female,d. Avannaata kommunia,2011,0
13,Lower,Male,d. Avannaata kommunia,2011,0
13,Upper,Male,d. Avannaata kommunia,2011,0
14,Lower,Male,d. Avannaata kommunia,2011,0
14,Upper,Male,d. Avannaata kommunia,2011,0
15,Lower,Male,d. Avannaata kommunia,2011,0
15,Upper,Male,d. Avannaata kommunia,2011,0
16,Lower,Male,d. Avannaata kommunia,2011,1
16,Upper,Male,d. Avannaata kommunia,2011,0
17,Lower,Male,d. Avannaata kommunia,2011,0
17,Upper,Male,d. Avannaata kommunia,2011,0
18,Lower,Male,d. Avannaata kommunia,2011,2
18,Upper,Male,d. Avannaata kommunia,2011,3
19,Lower,Male,d. Avannaata kommunia,2011,1
19,Upper,Male,d. Avannaata kommunia,2011,3
20,Lower,Male,d. Avannaata kommunia,2011,3
20,Upper,Male,d. Avannaata kommunia,2011,3
21,Lower,Male,d. Avannaata kommunia,2011,2
21,Upper,Male,d. Avannaata kommunia,2011,2
22,Lower,Male,d. Avannaata kommunia,2011,5
22,Upper,Male,d. Avannaata kommunia,2011,2
23,Lower,Male,d. Avannaata kommunia,2011,2
23,Upper,Male,d. Avannaata kommunia,2011,2
24,Lower,Male,d. Avannaata kommunia,2011,5
24,Upper,Male,d. Avannaata kommunia,2011,1
25,Lower,Male,d. Avannaata kommunia,2011,2
25,Upper,Male,d. Avannaata kommunia,2011,5
26,Lower,Male,d. Avannaata kommunia,2011,2
26,Upper,Male,d. Avannaata kommunia,2011,3
27,Lower,Male,d. Avannaata kommunia,2011,3
27,Upper,Male,d. Avannaata kommunia,2011,3
28,Lower,Male,d. Avannaata kommunia,2011,1
28,Upper,Male,d. Avannaata kommunia,2011,3
29,Lower,Male,d. Avannaata kommunia,2011,5
29,Upper,Male,d. Avannaata kommunia,2011,1
30,Lower,Male,d. Avannaata kommunia,2011,0
30,Upper,Male,d. Avannaata kommunia,2011,1
31,Lower,Male,d. Avannaata kommunia,2011,2
31,Upper,Male,d. Avannaata kommunia,2011,0
32,Lower,Male,d. Avannaata kommunia,2011,0
32,Upper,Male,d. Avannaata kommunia,2011,1
33,Lower,Male,d. Avannaata kommunia,2011,2
33,Upper,Male,d. Avannaata kommunia,2011,4
34,Lower,Male,d. Avannaata kommunia,2011,2
34,Upper,Male,d. Avannaata kommunia,2011,1
35,Lower,Male,d. Avannaata kommunia,2011,0
35,Upper,Male,d. Avannaata kommunia,2011,2
36,Lower,Male,d. Avannaata kommunia,2011,2
36,Upper,Male,d. Avannaata kommunia,2011,0
37,Lower,Male,d. Avannaata kommunia,2011,0
37,Upper,Male,d. Avannaata kommunia,2011,1
38,Lower,Male,d. Avannaata kommunia,2011,0
38,Upper,Male,d. Avannaata kommunia,2011,2
39,Lower,Male,d. Avannaata kommunia,2011,2
39,Upper,Male,d. Avannaata kommunia,2011,1
40,Lower,Male,d. Avannaata kommunia,2011,0
40,Upper,Male,d. Avannaata kommunia,2011,0
41,Lower,Male,d. Avannaata kommunia,2011,0
41,Upper,Male,d. Avannaata kommunia,2011,0
42,Lower,Male,d. Avannaata kommunia,2011,0
42,Upper,Male,d. Avannaata kommunia,2011,0
43,Lower,Male,d. Avannaata kommunia,2011,0
43,Upper,Male,d. Avannaata kommunia,2011,0
44,Lower,Male,d. Avannaata kommunia,2011,0
44,Upper,Male,d. Avannaata kommunia,2011,0
45,Lower,Male,d. Avannaata kommunia,2011,0
45,Upper,Male,d. Avannaata kommunia,2011,0
46,Lower,Male,d. Avannaata kommunia,2011,0
46,Upper,Male,d. Avannaata kommunia,2011,0
47,Lower,Male,d. Avannaata kommunia,2011,0
47,Upper,Male,d. Avannaata kommunia,2011,0
48,Lower,Male,d. Avannaata kommunia,2011,0
48,Upper,Male,d. Avannaata kommunia,2011,0
49,Lower,Male,d. Avannaata kommunia,2011,0
49,Upper,Male,d. Avannaata kommunia,2011,0
50,Lower,Male,d. Avannaata kommunia,2011,0
50,Upper,Male,d. Avannaata kommunia,2011,0
13,Lower,Female,d. Kommune Kujalleq,2011,0
13,Upper,Female,d. Kommune Kujalleq,2011,0
14,Lower,Female,d. Kommune Kujalleq,2011,0
14,Upper,Female,d. Kommune Kujalleq,2011,0
15,Lower,Female,d. Kommune Kujalleq,2011,0
15,Upper,Female,d. Kommune Kujalleq,2011,1
16,Lower,Female,d. Kommune Kujalleq,2011,0
16,Upper,Female,d. Kommune Kujalleq,2011,0
17,Lower,Female,d. Kommune Kujalleq,2011,0
17,Upper,Female,d. Kommune Kujalleq,2011,0
18,Lower,Female,d. Kommune Kujalleq,2011,1
18,Upper,Female,d. Kommune Kujalleq,2011,2
19,Lower,Female,d. Kommune Kujalleq,2011,1
19,Upper,Female,d. Kommune Kujalleq,2011,2
20,Lower,Female,d. Kommune Kujalleq,2011,0
20,Upper,Female,d. Kommune Kujalleq,2011,2
21,Lower,Female,d. Kommune Kujalleq,2011,1
21,Upper,Female,d. Kommune Kujalleq,2011,1
22,Lower,Female,d. Kommune Kujalleq,2011,1
22,Upper,Female,d. Kommune Kujalleq,2011,5
23,Lower,Female,d. Kommune Kujalleq,2011,1
23,Upper,Female,d. Kommune Kujalleq,2011,0
24,Lower,Female,d. Kommune Kujalleq,2011,1
24,Upper,Female,d. Kommune Kujalleq,2011,1
25,Lower,Female,d. Kommune Kujalleq,2011,0
25,Upper,Female,d. Kommune Kujalleq,2011,2
26,Lower,Female,d. Kommune Kujalleq,2011,0
26,Upper,Female,d. Kommune Kujalleq,2011,0
27,Lower,Female,d. Kommune Kujalleq,2011,2
27,Upper,Female,d. Kommune Kujalleq,2011,6
28,Lower,Female,d. Kommune Kujalleq,2011,2
28,Upper,Female,d. Kommune Kujalleq,2011,1
29,Lower,Female,d. Kommune Kujalleq,2011,0
29,Upper,Female,d. Kommune Kujalleq,2011,2
30,Lower,Female,d. Kommune Kujalleq,2011,4
30,Upper,Female,d. Kommune Kujalleq,2011,1
31,Lower,Female,d. Kommune Kujalleq,2011,1
31,Upper,Female,d. Kommune Kujalleq,2011,2
32,Lower,Female,d. Kommune Kujalleq,2011,0
32,Upper,Female,d. Kommune Kujalleq,2011,0
33,Lower,Female,d. Kommune Kujalleq,2011,0
33,Upper,Female,d. Kommune Kujalleq,2011,1
34,Lower,Female,d. Kommune Kujalleq,2011,1
34,Upper,Female,d. Kommune Kujalleq,2011,0
35,Lower,Female,d. Kommune Kujalleq,2011,1
35,Upper,Female,d. Kommune Kujalleq,2011,0
36,Lower,Female,d. Kommune Kujalleq,2011,0
36,Upper,Female,d. Kommune Kujalleq,2011,1
37,Lower,Female,d. Kommune Kujalleq,2011,0
37,Upper,Female,d. Kommune Kujalleq,2011,0
38,Lower,Female,d. Kommune Kujalleq,2011,0
38,Upper,Female,d. Kommune Kujalleq,2011,0
39,Lower,Female,d. Kommune Kujalleq,2011,0
39,Upper,Female,d. Kommune Kujalleq,2011,0
40,Lower,Female,d. Kommune Kujalleq,2011,0
40,Upper,Female,d. Kommune Kujalleq,2011,0
41,Lower,Female,d. Kommune Kujalleq,2011,0
41,Upper,Female,d. Kommune Kujalleq,2011,0
42,Lower,Female,d. Kommune Kujalleq,2011,0
42,Upper,Female,d. Kommune Kujalleq,2011,0
43,Lower,Female,d. Kommune Kujalleq,2011,0
43,Upper,Female,d. Kommune Kujalleq,2011,0
44,Lower,Female,d. Kommune Kujalleq,2011,0
44,Upper,Female,d. Kommune Kujalleq,2011,0
45,Lower,Female,d. Kommune Kujalleq,2011,0
45,Upper,Female,d. Kommune Kujalleq,2011,0
46,Lower,Female,d. Kommune Kujalleq,2011,0
46,Upper,Female,d. Kommune Kujalleq,2011,0
47,Lower,Female,d. Kommune Kujalleq,2011,0
47,Upper,Female,d. Kommune Kujalleq,2011,0
48,Lower,Female,d. Kommune Kujalleq,2011,0
48,Upper,Female,d. Kommune Kujalleq,2011,0
49,Lower,Female,d. Kommune Kujalleq,2011,0
49,Upper,Female,d. Kommune Kujalleq,2011,0
50,Lower,Female,d. Kommune Kujalleq,2011,0
50,Upper,Female,d. Kommune Kujalleq,2011,0
13,Lower,Male,d. Kommune Kujalleq,2011,0
13,Upper,Male,d. Kommune Kujalleq,2011,0
14,Lower,Male,d. Kommune Kujalleq,2011,0
14,Upper,Male,d. Kommune Kujalleq,2011,0
15,Lower,Male,d. Kommune Kujalleq,2011,0
15,Upper,Male,d. Kommune Kujalleq,2011,0
16,Lower,Male,d. Kommune Kujalleq,2011,1
16,Upper,Male,d. Kommune Kujalleq,2011,1
17,Lower,Male,d. Kommune Kujalleq,2011,3
17,Upper,Male,d. Kommune Kujalleq,2011,0
18,Lower,Male,d. Kommune Kujalleq,2011,0
18,Upper,Male,d. Kommune Kujalleq,2011,4
19,Lower,Male,d. Kommune Kujalleq,2011,0
19,Upper,Male,d. Kommune Kujalleq,2011,1
20,Lower,Male,d. Kommune Kujalleq,2011,2
20,Upper,Male,d. Kommune Kujalleq,2011,2
21,Lower,Male,d. Kommune Kujalleq,2011,2
21,Upper,Male,d. Kommune Kujalleq,2011,0
22,Lower,Male,d. Kommune Kujalleq,2011,3
22,Upper,Male,d. Kommune Kujalleq,2011,1
23,Lower,Male,d. Kommune Kujalleq,2011,3
23,Upper,Male,d. Kommune Kujalleq,2011,1
24,Lower,Male,d. Kommune Kujalleq,2011,2
24,Upper,Male,d. Kommune Kujalleq,2011,1
25,Lower,Male,d. Kommune Kujalleq,2011,2
25,Upper,Male,d. Kommune Kujalleq,2011,1
26,Lower,Male,d. Kommune Kujalleq,2011,1
26,Upper,Male,d. Kommune Kujalleq,2011,1
27,Lower,Male,d. Kommune Kujalleq,2011,2
27,Upper,Male,d. Kommune Kujalleq,2011,5
28,Lower,Male,d. Kommune Kujalleq,2011,0
28,Upper,Male,d. Kommune Kujalleq,2011,1
29,Lower,Male,d. Kommune Kujalleq,2011,3
29,Upper,Male,d. Kommune Kujalleq,2011,1
30,Lower,Male,d. Kommune Kujalleq,2011,1
30,Upper,Male,d. Kommune Kujalleq,2011,1
31,Lower,Male,d. Kommune Kujalleq,2011,4
31,Upper,Male,d. Kommune Kujalleq,2011,0
32,Lower,Male,d. Kommune Kujalleq,2011,1
32,Upper,Male,d. Kommune Kujalleq,2011,1
33,Lower,Male,d. Kommune Kujalleq,2011,1
33,Upper,Male,d. Kommune Kujalleq,2011,0
34,Lower,Male,d. Kommune Kujalleq,2011,1
34,Upper,Male,d. Kommune Kujalleq,2011,0
35,Lower,Male,d. Kommune Kujalleq,2011,1
35,Upper,Male,d. Kommune Kujalleq,2011,0
36,Lower,Male,d. Kommune Kujalleq,2011,0
36,Upper,Male,d. Kommune Kujalleq,2011,0
37,Lower,Male,d. Kommune Kujalleq,2011,0
37,Upper,Male,d. Kommune Kujalleq,2011,0
38,Lower,Male,d. Kommune Kujalleq,2011,1
38,Upper,Male,d. Kommune Kujalleq,2011,0
39,Lower,Male,d. Kommune Kujalleq,2011,0
39,Upper,Male,d. Kommune Kujalleq,2011,0
40,Lower,Male,d. Kommune Kujalleq,2011,0
40,Upper,Male,d. Kommune Kujalleq,2011,0
41,Lower,Male,d. Kommune Kujalleq,2011,0
41,Upper,Male,d. Kommune Kujalleq,2011,0
42,Lower,Male,d. Kommune Kujalleq,2011,0
42,Upper,Male,d. Kommune Kujalleq,2011,0
43,Lower,Male,d. Kommune Kujalleq,2011,0
43,Upper,Male,d. Kommune Kujalleq,2011,0
44,Lower,Male,d. Kommune Kujalleq,2011,0
44,Upper,Male,d. Kommune Kujalleq,2011,0
45,Lower,Male,d. Kommune Kujalleq,2011,0
45,Upper,Male,d. Kommune Kujalleq,2011,0
46,Lower,Male,d. Kommune Kujalleq,2011,0
46,Upper,Male,d. Kommune Kujalleq,2011,0
47,Lower,Male,d. Kommune Kujalleq,2011,0
47,Upper,Male,d. Kommune Kujalleq,2011,0
48,Lower,Male,d. Kommune Kujalleq,2011,0
48,Upper,Male,d. Kommune Kujalleq,2011,0
49,Lower,Male,d. Kommune Kujalleq,2011,0
49,Upper,Male,d. Kommune Kujalleq,2011,0
50,Lower,Male,d. Kommune Kujalleq,2011,0
50,Upper,Male,d. Kommune Kujalleq,2011,0
13,Lower,Female,d. Kommuneq Qeqertalik,2011,0
13,Upper,Female,d. Kommuneq Qeqertalik,2011,0
14,Lower,Female,d. Kommuneq Qeqertalik,2011,0
14,Upper,Female,d. Kommuneq Qeqertalik,2011,0
15,Lower,Female,d. Kommuneq Qeqertalik,2011,0
15,Upper,Female,d. Kommuneq Qeqertalik,2011,0
16,Lower,Female,d. Kommuneq Qeqertalik,2011,0
16,Upper,Female,d. Kommuneq Qeqertalik,2011,0
17,Lower,Female,d. Kommuneq Qeqertalik,2011,2
17,Upper,Female,d. Kommuneq Qeqertalik,2011,1
18,Lower,Female,d. Kommuneq Qeqertalik,2011,0
18,Upper,Female,d. Kommuneq Qeqertalik,2011,2
19,Lower,Female,d. Kommuneq Qeqertalik,2011,1
19,Upper,Female,d. Kommuneq Qeqertalik,2011,0
20,Lower,Female,d. Kommuneq Qeqertalik,2011,1
20,Upper,Female,d. Kommuneq Qeqertalik,2011,0
21,Lower,Female,d. Kommuneq Qeqertalik,2011,2
21,Upper,Female,d. Kommuneq Qeqertalik,2011,1
22,Lower,Female,d. Kommuneq Qeqertalik,2011,4
22,Upper,Female,d. Kommuneq Qeqertalik,2011,1
23,Lower,Female,d. Kommuneq Qeqertalik,2011,1
23,Upper,Female,d. Kommuneq Qeqertalik,2011,1
24,Lower,Female,d. Kommuneq Qeqertalik,2011,0
24,Upper,Female,d. Kommuneq Qeqertalik,2011,1
25,Lower,Female,d. Kommuneq Qeqertalik,2011,2
25,Upper,Female,d. Kommuneq Qeqertalik,2011,1
26,Lower,Female,d. Kommuneq Qeqertalik,2011,1
26,Upper,Female,d. Kommuneq Qeqertalik,2011,1
27,Lower,Female,d. Kommuneq Qeqertalik,2011,1
27,Upper,Female,d. Kommuneq Qeqertalik,2011,3
28,Lower,Female,d. Kommuneq Qeqertalik,2011,1
28,Upper,Female,d. Kommuneq Qeqertalik,2011,0
29,Lower,Female,d. Kommuneq Qeqertalik,2011,1
29,Upper,Female,d. Kommuneq Qeqertalik,2011,1
30,Lower,Female,d. Kommuneq Qeqertalik,2011,1
30,Upper,Female,d. Kommuneq Qeqertalik,2011,1
31,Lower,Female,d. Kommuneq Qeqertalik,2011,2
31,Upper,Female,d. Kommuneq Qeqertalik,2011,0
32,Lower,Female,d. Kommuneq Qeqertalik,2011,0
32,Upper,Female,d. Kommuneq Qeqertalik,2011,0
33,Lower,Female,d. Kommuneq Qeqertalik,2011,0
33,Upper,Female,d. Kommuneq Qeqertalik,2011,0
34,Lower,Female,d. Kommuneq Qeqertalik,2011,2
34,Upper,Female,d. Kommuneq Qeqertalik,2011,2
35,Lower,Female,d. Kommuneq Qeqertalik,2011,0
35,Upper,Female,d. Kommuneq Qeqertalik,2011,0
36,Lower,Female,d. Kommuneq Qeqertalik,2011,0
36,Upper,Female,d. Kommuneq Qeqertalik,2011,1
37,Lower,Female,d. Kommuneq Qeqertalik,2011,0
37,Upper,Female,d. Kommuneq Qeqertalik,2011,0
38,Lower,Female,d. Kommuneq Qeqertalik,2011,0
38,Upper,Female,d. Kommuneq Qeqertalik,2011,0
39,Lower,Female,d. Kommuneq Qeqertalik,2011,0
39,Upper,Female,d. Kommuneq Qeqertalik,2011,0
40,Lower,Female,d. Kommuneq Qeqertalik,2011,0
40,Upper,Female,d. Kommuneq Qeqertalik,2011,0
41,Lower,Female,d. Kommuneq Qeqertalik,2011,0
41,Upper,Female,d. Kommuneq Qeqertalik,2011,0
42,Lower,Female,d. Kommuneq Qeqertalik,2011,0
42,Upper,Female,d. Kommuneq Qeqertalik,2011,0
43,Lower,Female,d. Kommuneq Qeqertalik,2011,0
43,Upper,Female,d. Kommuneq Qeqertalik,2011,0
44,Lower,Female,d. Kommuneq Qeqertalik,2011,0
44,Upper,Female,d. Kommuneq Qeqertalik,2011,0
45,Lower,Female,d. Kommuneq Qeqertalik,2011,0
45,Upper,Female,d. Kommuneq Qeqertalik,2011,0
46,Lower,Female,d. Kommuneq Qeqertalik,2011,0
46,Upper,Female,d. Kommuneq Qeqertalik,2011,0
47,Lower,Female,d. Kommuneq Qeqertalik,2011,0
47,Upper,Female,d. Kommuneq Qeqertalik,2011,0
48,Lower,Female,d. Kommuneq Qeqertalik,2011,0
48,Upper,Female,d. Kommuneq Qeqertalik,2011,0
49,Lower,Female,d. Kommuneq Qeqertalik,2011,0
49,Upper,Female,d. Kommuneq Qeqertalik,2011,0
50,Lower,Female,d. Kommuneq Qeqertalik,2011,0
50,Upper,Female,d. Kommuneq Qeqertalik,2011,0
13,Lower,Male,d. Kommuneq Qeqertalik,2011,0
