age,triangle,sex,time,count
0,Lower,Female,2011,3
0,Upper,Female,2011,0
1,Lower,Female,2011,0
1,Upper,Female,2011,0
2,Lower,Female,2011,0
2,Upper,Female,2011,0
3,Lower,Female,2011,0
3,Upper,Female,2011,0
4,Lower,Female,2011,0
4,Upper,Female,2011,0
5,Lower,Female,2011,0
5,Upper,Female,2011,0
6,Lower,Female,2011,0
6,Upper,Female,2011,0
7,Lower,Female,2011,0
7,Upper,Female,2011,0
8,Lower,Female,2011,0
8,Upper,Female,2011,0
9,Lower,Female,2011,0
9,Upper,Female,2011,0
10,Lower,Female,2011,0
10,Upper,Female,2011,0
11,Lower,Female,2011,0
11,Upper,Female,2011,0
12,Lower,Female,2011,0
12,Upper,Female,2011,0
13,Lower,Female,2011,0
13,Upper,Female,2011,0
14,Lower,Female,2011,1
14,Upper,Female,2011,0
15,Lower,Female,2011,0
15,Upper,Female,2011,0
16,Lower,Female,2011,0
16,Upper,Female,2011,0
17,Lower,Female,2011,2
17,Upper,Female,2011,0
18,Lower,Female,2011,0
18,Upper,Female,2011,0
19,Lower,Female,2011,2
19,Upper,Female,2011,1
20,Lower,Female,2011,1
20,Upper,Female,2011,0
21,Lower,Female,2011,0
21,Upper,Female,2011,0
22,Lower,Female,2011,0
22,Upper,Female,2011,2
23,Lower,Female,2011,0
23,Upper,Female,2011,0
24,Lower,Female,2011,0
24,Upper,Female,2011,0
25,Lower,Female,2011,0
25,Upper,Female,2011,1
26,Lower,Female,2011,1
26,Upper,Female,2011,0
27,Lower,Female,2011,0
27,Upper,Female,2011,0
28,Lower,Female,2011,0
28,Upper,Female,2011,0
29,Lower,Female,2011,0
29,Upper,Female,2011,0
30,Lower,Female,2011,1
30,Upper,Female,2011,0
31,Lower,Female,2011,0
31,Upper,Female,2011,0
32,Lower,Female,2011,0
32,Upper,Female,2011,0
33,Lower,Female,2011,0
33,Upper,Female,2011,1
34,Lower,Female,2011,1
34,Upper,Female,2011,1
35,Lower,Female,2011,0
35,Upper,Female,2011,0
36,Lower,Female,2011,2
36,Upper,Female,2011,0
37,Lower,Female,2011,0
37,Upper,Female,2011,0
38,Lower,Female,2011,1
38,Upper,Female,2011,0
39,Lower,Female,2011,1
39,Upper,Female,2011,1
40,Lower,Female,2011,0
40,Upper,Female,2011,0
41,Lower,Female,2011,0
41,Upper,Female,2011,0
42,Lower,Female,2011,0
42,Upper,Female,2011,1
43,Lower,Female,2011,1
43,Upper,Female,2011,1
44,Lower,Female,2011,0
44,Upper,Female,2011,1
45,Lower,Female,2011,0
45,Upper,Female,2011,0
46,Lower,Female,2011,1
46,Upper,Female,2011,2
47,Lower,Female,2011,1
47,Upper,Female,2011,0
48,Lower,Female,2011,4
48,Upper,Female,2011,1
49,Lower,Female,2011,4
49,Upper,Female,2011,3
50,Lower,Female,2011,0
50,Upper,Female,2011,0
51,Lower,Female,2011,1
51,Upper,Female,2011,1
52,Lower,Female,2011,0
52,Upper,Female,2011,0
53,Lower,Female,2011,0
53,Upper,Female,2011,1
54,Lower,Female,2011,0
54,Upper,Female,2011,1
55,Lower,Female,2011,1
55,Upper,Female,2011,0
56,Lower,Female,2011,4
56,Upper,Female,2011,0
57,Lower,Female,2011,3
57,Upper,Female,2011,0
58,Lower,Female,2011,1
58,Upper,Female,2011,1
59,Lower,Female,2011,2
59,Upper,Female,2011,2
60,Lower,Female,2011,1
60,Upper,Female,2011,1
61,Lower,Female,2011,1
61,Upper,Female,2011,1
62,Lower,Female,2011,4
62,Upper,Female,2011,2
63,Lower,Female,2011,4
63,Upper,Female,2011,2
64,Lower,Female,2011,2
64,Upper,Female,2011,5
65,Lower,Female,2011,6
65,Upper,Female,2011,3
66,Lower,Female,2011,2
66,Upper,Female,2011,9
67,Lower,Female,2011,2
67,Upper,Female,2011,0
68,Lower,Female,2011,0
68,Upper,Female,2011,3
69,Lower,Female,2011,1
69,Upper,Female,2011,1
70,Lower,Female,2011,3
70,Upper,Female,2011,3
71,Lower,Female,2011,1
