age,triangle,sex,region,time,count
0,Lower,Female,d. Avannaata kommunia,2011,1
0,Upper,Female,d. Avannaata kommunia,2011,0
1,Lower,Female,d. Avannaata kommunia,2011,0
1,Upper,Female,d. Avannaata kommunia,2011,0
2,Lower,Female,d. Avannaata kommunia,2011,0
2,Upper,Female,d. Avannaata kommunia,2011,0
3,Lower,Female,d. Avannaata kommunia,2011,0
3,Upper,Female,d. Avannaata kommunia,2011,0
4,Lower,Female,d. Avannaata kommunia,2011,0
4,Upper,Female,d. Avannaata kommunia,2011,0
5,Lower,Female,d. Avannaata kommunia,2011,0
5,Upper,Female,d. Avannaata kommunia,2011,0
6,Lower,Female,d. Avannaata kommunia,2011,0
6,Upper,Female,d. Avannaata kommunia,2011,0
7,Lower,Female,d. Avannaata kommunia,2011,0
7,Upper,Female,d. Avannaata kommunia,2011,0
8,Lower,Female,d. Avannaata kommunia,2011,0
8,Upper,Female,d. Avannaata kommunia,2011,0
9,Lower,Female,d. Avannaata kommunia,2011,0
9,Upper,Female,d. Avannaata kommunia,2011,0
10,Lower,Female,d. Avannaata kommunia,2011,0
10,Upper,Female,d. Avannaata kommunia,2011,0
11,Lower,Female,d. Avannaata kommunia,2011,0
11,Upper,Female,d. Avannaata kommunia,2011,0
12,Lower,Female,d. Avannaata kommunia,2011,0
12,Upper,Female,d. Avannaata kommunia,2011,0
13,Lower,Female,d. Avannaata kommunia,2011,0
13,Upper,Female,d. Avannaata kommunia,2011,0
14,Lower,Female,d. Avannaata kommunia,2011,0
14,Upper,Female,d. Avannaata kommunia,2011,0
15,Lower,Female,d. Avannaata kommunia,2011,0
15,Upper,Female,d. Avannaata kommunia,2011,0
16,Lower,Female,d. Avannaata kommunia,2011,0
16,Upper,Female,d. Avannaata kommunia,2011,0
17,Lower,Female,d. Avannaata kommunia,2011,0
17,Upper,Female,d. Avannaata kommunia,2011,0
18,Lower,Female,d. Avannaata kommunia,2011,0
18,Upper,Female,d. Avannaata kommunia,2011,0
19,Lower,Female,d. Avannaata kommunia,2011,1
19,Upper,Female,d. Avannaata kommunia,2011,0
20,Lower,Female,d. Avannaata kommunia,2011,0
20,Upper,Female,d. Avannaata kommunia,2011,0
21,Lower,Female,d. Avannaata kommunia,2011,0
21,Upper,Female,d. Avannaata kommunia,2011,0
22,Lower,Female,d. Avannaata kommunia,2011,0
22,Upper,Female,d. Avannaata kommunia,2011,0
23,Lower,Female,d. Avannaata kommunia,2011,0
23,Upper,Female,d. Avannaata kommunia,2011,0
24,Lower,Female,d. Avannaata kommunia,2011,0
24,Upper,Female,d. Avannaata kommunia,2011,0
25,Lower,Female,d. Avannaata kommunia,2011,0
25,Upper,Female,d. Avannaata kommunia,2011,0
26,Lower,Female,d. Avannaata kommunia,2011,0
26,Upper,Female,d. Avannaata kommunia,2011,0
27,Lower,Female,d. Avannaata kommunia,2011,0
27,Upper,Female,d. Avannaata kommunia,2011,0
28,Lower,Female,d. Avannaata kommunia,2011,0
28,Upper,Female,d. Avannaata kommunia,2011,0
29,Lower,Female,d. Avannaata kommunia,2011,0
29,Upper,Female,d. Avannaata kommunia,2011,0
30,Lower,Female,d. Avannaata kommunia,2011,1
30,Upper,Female,d. Avannaata kommunia,2011,0
31,Lower,Female,d. Avannaata kommunia,2011,0
31,Upper,Female,d. Avannaata kommunia,2011,0
32,Lower,Female,d. Avannaata kommunia,2011,0
32,Upper,Female,d. Avannaata kommunia,2011,0
33,Lower,Female,d. Avannaata kommunia,2011,0
33,Upper,Female,d. Avannaata kommunia,2011,0
34,Lower,Female,d. Avannaata kommunia,2011,0
34,Upper,Female,d. Avannaata kommunia,2011,0
35,Lower,Female,d. Avannaata kommunia,2011,0
35,Upper,Female,d. Avannaata kommunia,2011,0
36,Lower,Female,d. Avannaata kommunia,2011,0
36,Upper,Female,d. Avannaata kommunia,2011,0
37,Lower,Female,d. Avannaata kommunia,2011,0
37,Upper,Female,d. Avannaata kommunia,2011,0
38,Lower,Female,d. Avannaata kommunia,2011,0
38,Upper,Female,d. Avannaata kommunia,2011,0
39,Lower,Female,d. Avannaata kommunia,2011,0
39,Upper,Female,d. Avannaata kommunia,2011,1
40,Lower,Female,d. Avannaata kommunia,2011,0
40,Upper,Female,d. Avannaata kommunia,2011,0
41,Lower,Female,d. Avannaata kommunia,2011,0
41,Upper,Female,d. Avannaata kommunia,2011,0
42,Lower,Female,d. Avannaata kommunia,2011,0
42,Upper,Female,d. Avannaata kommunia,2011,0
43,Lower,Female,d. Avannaata kommunia,2011,0
43,Upper,Female,d. Avannaata kommunia,2011,0
44,Lower,Female,d. Avannaata kommunia,2011,0
44,Upper,Female,d. Avannaata kommunia,2011,0
45,Lower,Female,d. Avannaata kommunia,2011,0
45,Upper,Female,d. Avannaata kommunia,2011,0
46,Lower,Female,d. Avannaata kommunia,2011,0
46,Upper,Female,d. Avannaata kommunia,2011,1
47,Lower,Female,d. Avannaata kommunia,2011,0
47,Upper,Female,d. Avannaata kommunia,2011,0
48,Lower,Female,d. Avannaata kommunia,2011,0
48,Upper,Female,d. Avannaata kommunia,2011,1
49,Lower,Female,d. Avannaata kommunia,2011,2
49,Upper,Female,d. Avannaata kommunia,2011,0
50,Lower,Female,d. Avannaata kommunia,2011,0
50,Upper,Female,d. Avannaata kommunia,2011,0
51,Lower,Female,d. Avannaata kommunia,2011,1
51,Upper,Female,d. Avannaata kommunia,2011,0
52,Lower,Female,d. Avannaata kommunia,2011,0
52,Upper,Female,d. Avannaata kommunia,2011,0
53,Lower,Female,d. Avannaata kommunia,2011,0
53,Upper,Female,d. Avannaata kommunia,2011,1
54,Lower,Female,d. Avannaata kommunia,2011,0
54,Upper,Female,d. Avannaata kommunia,2011,0
55,Lower,Female,d. Avannaata kommunia,2011,0
55,Upper,Female,d. Avannaata kommunia,2011,0
56,Lower,Female,d. Avannaata kommunia,2011,1
56,Upper,Female,d. Avannaata kommunia,2011,0
57,Lower,Female,d. Avannaata kommunia,2011,0
57,Upper,Female,d. Avannaata kommunia,2011,0
58,Lower,Female,d. Avannaata kommunia,2011,1
58,Upper,Female,d. Avannaata kommunia,2011,0
59,Lower,Female,d. Avannaata kommunia,2011,0
59,Upper,Female,d. Avannaata kommunia,2011,1
60,Lower,Female,d. Avannaata kommunia,2011,0
60,Upper,Female,d. Avannaata kommunia,2011,0
61,Lower,Female,d. Avannaata kommunia,2011,0
61,Upper,Female,d. Avannaata kommunia,2011,1
62,Lower,Female,d. Avannaata kommunia,2011,1
62,Upper,Female,d. Avannaata kommunia,2011,0
63,Lower,Female,d. Avannaata kommunia,2011,1
63,Upper,Female,d. Avannaata kommunia,2011,0
64,Lower,Female,d. Avannaata kommunia,2011,0
64,Upper,Female,d. Avannaata kommunia,2011,1
65,Lower,Female,d. Avannaata kommunia,2011,1
65,Upper,Female,d. Avannaata kommunia,2011,0
66,Lower,Female,d. Avannaata kommunia,2011,0
66,Upper,Female,d. Avannaata kommunia,2011,1
67,Lower,Female,d. Avannaata kommunia,2011,1
67,Upper,Female,d. Avannaata kommunia,2011,0
68,Lower,Female,d. Avannaata kommunia,2011,0
68,Upper,Female,d. Avannaata kommunia,2011,0
69,Lower,Female,d. Avannaata kommunia,2011,0
69,Upper,Female,d. Avannaata kommunia,2011,0
70,Lower,Female,d. Avannaata kommunia,2011,0
70,Upper,Female,d. Avannaata kommunia,2011,1
71,Lower,Female,d. Avannaata kommunia,2011,0
71,Upper,Female,d. Avannaata kommunia,2011,0
72,Lower,Female,d. Avannaata kommunia,2011,1
