age,triangle,sex,time,count
0,Lower,Female,2011,2
0,Upper,Female,2011,9
1,Lower,Female,2011,13
1,Upper,Female,2011,5
2,Lower,Female,2011,14
2,Upper,Female,2011,10
3,Lower,Female,2011,3
3,Upper,Female,2011,7
4,Lower,Female,2011,12
4,Upper,Female,2011,8
5,Lower,Female,2011,5
5,Upper,Female,2011,4
6,Lower,Female,2011,4
6,Upper,Female,2011,7
7,Lower,Female,2011,5
7,Upper,Female,2011,6
8,Lower,Female,2011,6
8,Upper,Female,2011,3
9,Lower,Female,2011,3
9,Upper,Female,2011,4
10,Lower,Female,2011,5
10,Upper,Female,2011,6
11,Lower,Female,2011,8
11,Upper,Female,2011,4
12,Lower,Female,2011,2
12,Upper,Female,2011,6
13,Lower,Female,2011,3
13,Upper,Female,2011,1
14,Lower,Female,2011,5
14,Upper,Female,2011,6
15,Lower,Female,2011,18
15,Upper,Female,2011,42
16,Lower,Female,2011,61
16,Upper,Female,2011,12
17,Lower,Female,2011,7
17,Upper,Female,2011,12
18,Lower,Female,2011,10
18,Upper,Female,2011,10
19,Lower,Female,2011,14
19,Upper,Female,2011,13
20,Lower,Female,2011,23
20,Upper,Female,2011,11
21,Lower,Female,2011,19
21,Upper,Female,2011,23
22,Lower,Female,2011,18
22,Upper,Female,2011,9
23,Lower,Female,2011,15
23,Upper,Female,2011,19
24,Lower,Female,2011,11
24,Upper,Female,2011,9
25,Lower,Female,2011,12
25,Upper,Female,2011,19
26,Lower,Female,2011,13
26,Upper,Female,2011,12
27,Lower,Female,2011,11
27,Upper,Female,2011,6
28,Lower,Female,2011,11
28,Upper,Female,2011,12
29,Lower,Female,2011,12
29,Upper,Female,2011,14
30,Lower,Female,2011,14
30,Upper,Female,2011,16
31,Lower,Female,2011,18
31,Upper,Female,2011,8
32,Lower,Female,2011,14
32,Upper,Female,2011,12
33,Lower,Female,2011,14
33,Upper,Female,2011,6
34,Lower,Female,2011,11
34,Upper,Female,2011,9
35,Lower,Female,2011,19
35,Upper,Female,2011,6
36,Lower,Female,2011,7
36,Upper,Female,2011,5
37,Lower,Female,2011,8
37,Upper,Female,2011,8
38,Lower,Female,2011,4
38,Upper,Female,2011,6
39,Lower,Female,2011,5
39,Upper,Female,2011,9
40,Lower,Female,2011,4
40,Upper,Female,2011,2
41,Lower,Female,2011,4
