age,triangle,sex,time,count
0,Lower,Female,2011,1
0,Upper,Female,2011,7
1,Lower,Female,2011,6
1,Upper,Female,2011,5
2,Lower,Female,2011,8
2,Upper,Female,2011,8
3,Lower,Female,2011,3
3,Upper,Female,2011,8
4,Lower,Female,2011,3
4,Upper,Female,2011,6
5,Lower,Female,2011,5
5,Upper,Female,2011,5
6,Lower,Female,2011,3
6,Upper,Female,2011,3
7,Lower,Female,2011,2
7,Upper,Female,2011,1
8,Lower,Female,2011,1
8,Upper,Female,2011,2
9,Lower,Female,2011,2
9,Upper,Female,2011,3
10,Lower,Female,2011,5
10,Upper,Female,2011,4
11,Lower,Female,2011,5
11,Upper,Female,2011,0
12,Lower,Female,2011,4
12,Upper,Female,2011,2
13,Lower,Female,2011,2
13,Upper,Female,2011,1
14,Lower,Female,2011,2
14,Upper,Female,2011,4
15,Lower,Female,2011,2
15,Upper,Female,2011,7
16,Lower,Female,2011,21
16,Upper,Female,2011,49
17,Lower,Female,2011,52
17,Upper,Female,2011,7
18,Lower,Female,2011,17
18,Upper,Female,2011,6
19,Lower,Female,2011,18
19,Upper,Female,2011,18
20,Lower,Female,2011,20
20,Upper,Female,2011,15
21,Lower,Female,2011,9
21,Upper,Female,2011,16
22,Lower,Female,2011,8
22,Upper,Female,2011,11
23,Lower,Female,2011,13
23,Upper,Female,2011,15
24,Lower,Female,2011,15
24,Upper,Female,2011,17
25,Lower,Female,2011,18
25,Upper,Female,2011,24
26,Lower,Female,2011,20
26,Upper,Female,2011,22
27,Lower,Female,2011,16
27,Upper,Female,2011,6
28,Lower,Female,2011,11
28,Upper,Female,2011,20
29,Lower,Female,2011,10
29,Upper,Female,2011,18
30,Lower,Female,2011,16
30,Upper,Female,2011,23
31,Lower,Female,2011,17
31,Upper,Female,2011,18
32,Lower,Female,2011,5
32,Upper,Female,2011,11
33,Lower,Female,2011,12
33,Upper,Female,2011,7
34,Lower,Female,2011,12
34,Upper,Female,2011,14
35,Lower,Female,2011,7
35,Upper,Female,2011,8
36,Lower,Female,2011,2
36,Upper,Female,2011,6
37,Lower,Female,2011,3
37,Upper,Female,2011,7
