age,triangle,sex,region,time,count
0,Lower,Female,Avannaata kommunia,2011,0
0,Upper,Female,Avannaata kommunia,2011,3
1,Lower,Female,Avannaata kommunia,2011,1
1,Upper,Female,Avannaata kommunia,2011,0
2,Lower,Female,Avannaata kommunia,2011,2
2,Upper,Female,Avannaata kommunia,2011,0
3,Lower,Female,Avannaata kommunia,2011,0
3,Upper,Female,Avannaata kommunia,2011,1
4,Lower,Female,Avannaata kommunia,2011,0
4,Upper,Female,Avannaata kommunia,2011,0
5,Lower,Female,Avannaata kommunia,2011,1
5,Upper,Female,Avannaata kommunia,2011,0
6,Lower,Female,Avannaata kommunia,2011,2
6,Upper,Female,Avannaata kommunia,2011,0
7,Lower,Female,Avannaata kommunia,2011,0
7,Upper,Female,Avannaata kommunia,2011,0
8,Lower,Female,Avannaata kommunia,2011,0
8,Upper,Female,Avannaata kommunia,2011,0
9,Lower,Female,Avannaata kommunia,2011,0
9,Upper,Female,Avannaata kommunia,2011,0
10,Lower,Female,Avannaata kommunia,2011,0
10,Upper,Female,Avannaata kommunia,2011,0
11,Lower,Female,Avannaata kommunia,2011,0
11,Upper,Female,Avannaata kommunia,2011,0
12,Lower,Female,Avannaata kommunia,2011,0
12,Upper,Female,Avannaata kommunia,2011,0
13,Lower,Female,Avannaata kommunia,2011,0
13,Upper,Female,Avannaata kommunia,2011,1
14,Lower,Female,Avannaata kommunia,2011,0
14,Upper,Female,Avannaata kommunia,2011,0
15,Lower,Female,Avannaata kommunia,2011,0
15,Upper,Female,Avannaata kommunia,2011,1
16,Lower,Female,Avannaata kommunia,2011,3
16,Upper,Female,Avannaata kommunia,2011,8
17,Lower,Female,Avannaata kommunia,2011,10
17,Upper,Female,Avannaata kommunia,2011,0
18,Lower,Female,Avannaata kommunia,2011,2
18,Upper,Female,Avannaata kommunia,2011,0
19,Lower,Female,Avannaata kommunia,2011,3
19,Upper,Female,Avannaata kommunia,2011,1
20,Lower,Female,Avannaata kommunia,2011,2
20,Upper,Female,Avannaata kommunia,2011,2
21,Lower,Female,Avannaata kommunia,2011,0
21,Upper,Female,Avannaata kommunia,2011,0
22,Lower,Female,Avannaata kommunia,2011,3
22,Upper,Female,Avannaata kommunia,2011,0
23,Lower,Female,Avannaata kommunia,2011,2
23,Upper,Female,Avannaata kommunia,2011,2
24,Lower,Female,Avannaata kommunia,2011,1
24,Upper,Female,Avannaata kommunia,2011,0
25,Lower,Female,Avannaata kommunia,2011,3
25,Upper,Female,Avannaata kommunia,2011,8
26,Lower,Female,Avannaata kommunia,2011,0
26,Upper,Female,Avannaata kommunia,2011,0
27,Lower,Female,Avannaata kommunia,2011,3
27,Upper,Female,Avannaata kommunia,2011,0
28,Lower,Female,Avannaata kommunia,2011,3
28,Upper,Female,Avannaata kommunia,2011,1
29,Lower,Female,Avannaata kommunia,2011,3
29,Upper,Female,Avannaata kommunia,2011,1
30,Lower,Female,Avannaata kommunia,2011,1
30,Upper,Female,Avannaata kommunia,2011,1
31,Lower,Female,Avannaata kommunia,2011,0
31,Upper,Female,Avannaata kommunia,2011,1
32,Lower,Female,Avannaata kommunia,2011,1
32,Upper,Female,Avannaata kommunia,2011,0
33,Lower,Female,Avannaata kommunia,2011,1
33,Upper,Female,Avannaata kommunia,2011,1
34,Lower,Female,Avannaata kommunia,2011,2
34,Upper,Female,Avannaata kommunia,2011,2
35,Lower,Female,Avannaata kommunia,2011,1
35,Upper,Female,Avannaata kommunia,2011,1
36,Lower,Female,Avannaata kommunia,2011,0
36,Upper,Female,Avannaata kommunia,2011,0
37,Lower,Female,Avannaata kommunia,2011,0
37,Upper,Female,Avannaata kommunia,2011,1
38,Lower,Female,Avannaata kommunia,2011,0
38,Upper,Female,Avannaata kommunia,2011,0
39,Lower,Female,Avannaata kommunia,2011,1
39,Upper,Female,Avannaata kommunia,2011,0
40,Lower,Female,Avannaata kommunia,2011,0
40,Upper,Female,Avannaata kommunia,2011,1
41,Lower,Female,Avannaata kommunia,2011,0
41,Upper,Female,Avannaata kommunia,2011,0
42,Lower,Female,Avannaata kommunia,2011,0
42,Upper,Female,Avannaata kommunia,2011,2
43,Lower,Female,Avannaata kommunia,2011,0
43,Upper,Female,Avannaata kommunia,2011,1
44,Lower,Female,Avannaata kommunia,2011,2
44,Upper,Female,Avannaata kommunia,2011,1
45,Lower,Female,Avannaata kommunia,2011,0
45,Upper,Female,Avannaata kommunia,2011,1
46,Lower,Female,Avannaata kommunia,2011,0
46,Upper,Female,Avannaata kommunia,2011,0
47,Lower,Female,Avannaata kommunia,2011,1
47,Upper,Female,Avannaata kommunia,2011,0
48,Lower,Female,Avannaata kommunia,2011,0
48,Upper,Female,Avannaata kommunia,2011,1
49,Lower,Female,Avannaata kommunia,2011,0
49,Upper,Female,Avannaata kommunia,2011,2
50,Lower,Female,Avannaata kommunia,2011,1
50,Upper,Female,Avannaata kommunia,2011,0
51,Lower,Female,Avannaata kommunia,2011,1
51,Upper,Female,Avannaata kommunia,2011,0
52,Lower,Female,Avannaata kommunia,2011,1
52,Upper,Female,Avannaata kommunia,2011,0
53,Lower,Female,Avannaata kommunia,2011,0
53,Upper,Female,Avannaata kommunia,2011,0
54,Lower,Female,Avannaata kommunia,2011,0
54,Upper,Female,Avannaata kommunia,2011,0
55,Lower,Female,Avannaata kommunia,2011,0
55,Upper,Female,Avannaata kommunia,2011,0
56,Lower,Female,Avannaata kommunia,2011,0
56,Upper,Female,Avannaata kommunia,2011,0
57,Lower,Female,Avannaata kommunia,2011,1
57,Upper,Female,Avannaata kommunia,2011,1
58,Lower,Female,Avannaata kommunia,2011,0
58,Upper,Female,Avannaata kommunia,2011,0
59,Lower,Female,Avannaata kommunia,2011,1
59,Upper,Female,Avannaata kommunia,2011,1
60,Lower,Female,Avannaata kommunia,2011,1
60,Upper,Female,Avannaata kommunia,2011,1
61,Lower,Female,Avannaata kommunia,2011,0
61,Upper,Female,Avannaata kommunia,2011,0
62,Lower,Female,Avannaata kommunia,2011,0
62,Upper,Female,Avannaata kommunia,2011,1
63,Lower,Female,Avannaata kommunia,2011,0
63,Upper,Female,Avannaata kommunia,2011,0
64,Lower,Female,Avannaata kommunia,2011,0
