age,triangle,sex,region,time,direction,count
0,Lower,Female,d. Avannaata kommunia,2011,In,3
0,Upper,Female,d. Avannaata kommunia,2011,In,5
1,Lower,Female,d. Avannaata kommunia,2011,In,2
1,Upper,Female,d. Avannaata kommunia,2011,In,4
2,Lower,Female,d. Avannaata kommunia,2011,In,3
2,Upper,Female,d. Avannaata kommunia,2011,In,2
3,Lower,Female,d. Avannaata kommunia,2011,In,2
3,Upper,Female,d. Avannaata kommunia,2011,In,3
4,Lower,Female,d. Avannaata kommunia,2011,In,4
4,Upper,Female,d. Avannaata kommunia,2011,In,8
5,Lower,Female,d. Avannaata kommunia,2011,In,2
5,Upper,Female,d. Avannaata kommunia,2011,In,7
6,Lower,Female,d. Avannaata kommunia,2011,In,4
6,Upper,Female,d. Avannaata kommunia,2011,In,3
7,Lower,Female,d. Avannaata kommunia,2011,In,1
7,Upper,Female,d. Avannaata kommunia,2011,In,1
8,Lower,Female,d. Avannaata kommunia,2011,In,1
8,Upper,Female,d. Avannaata kommunia,2011,In,4
9,Lower,Female,d. Avannaata kommunia,2011,In,3
9,Upper,Female,d. Avannaata kommunia,2011,In,3
10,Lower,Female,d. Avannaata kommunia,2011,In,2
10,Upper,Female,d. Avannaata kommunia,2011,In,6
11,Lower,Female,d. Avannaata kommunia,2011,In,3
11,Upper,Female,d. Avannaata kommunia,2011,In,4
12,Lower,Female,d. Avannaata kommunia,2011,In,4
12,Upper,Female,d. Avannaata kommunia,2011,In,6
13,Lower,Female,d. Avannaata kommunia,2011,In,1
13,Upper,Female,d. Avannaata kommunia,2011,In,5
14,Lower,Female,d. Avannaata kommunia,2011,In,3
14,Upper,Female,d. Avannaata kommunia,2011,In,4
15,Lower,Female,d. Avannaata kommunia,2011,In,1
15,Upper,Female,d. Avannaata kommunia,2011,In,2
16,Lower,Female,d. Avannaata kommunia,2011,In,8
16,Upper,Female,d. Avannaata kommunia,2011,In,5
17,Lower,Female,d. Avannaata kommunia,2011,In,1
17,Upper,Female,d. Avannaata kommunia,2011,In,3
18,Lower,Female,d. Avannaata kommunia,2011,In,7
18,Upper,Female,d. Avannaata kommunia,2011,In,4
19,Lower,Female,d. Avannaata kommunia,2011,In,7
19,Upper,Female,d. Avannaata kommunia,2011,In,7
20,Lower,Female,d. Avannaata kommunia,2011,In,6
20,Upper,Female,d. Avannaata kommunia,2011,In,8
21,Lower,Female,d. Avannaata kommunia,2011,In,9
21,Upper,Female,d. Avannaata kommunia,2011,In,8
22,Lower,Female,d. Avannaata kommunia,2011,In,10
22,Upper,Female,d. Avannaata kommunia,2011,In,13
23,Lower,Female,d. Avannaata kommunia,2011,In,6
23,Upper,Female,d. Avannaata kommunia,2011,In,6
24,Lower,Female,d. Avannaata kommunia,2011,In,8
24,Upper,Female,d. Avannaata kommunia,2011,In,10
25,Lower,Female,d. Avannaata kommunia,2011,In,5
25,Upper,Female,d. Avannaata kommunia,2011,In,3
26,Lower,Female,d. Avannaata kommunia,2011,In,3
26,Upper,Female,d. Avannaata kommunia,2011,In,5
27,Lower,Female,d. Avannaata kommunia,2011,In,5
27,Upper,Female,d. Avannaata kommunia,2011,In,5
28,Lower,Female,d. Avannaata kommunia,2011,In,5
28,Upper,Female,d. Avannaata kommunia,2011,In,8
29,Lower,Female,d. Avannaata kommunia,2011,In,8
29,Upper,Female,d. Avannaata kommunia,2011,In,3
30,Lower,Female,d. Avannaata kommunia,2011,In,4
30,Upper,Female,d. Avannaata kommunia,2011,In,2
31,Lower,Female,d. Avannaata kommunia,2011,In,3
31,Upper,Female,d. Avannaata kommunia,2011,In,1
32,Lower,Female,d. Avannaata kommunia,2011,In,2
32,Upper,Female,d. Avannaata kommunia,2011,In,4
33,Lower,Female,d. Avannaata kommunia,2011,In,5
33,Upper,Female,d. Avannaata kommunia,2011,In,3
34,Lower,Female,d. Avannaata kommunia,2011,In,0
34,Upper,Female,d. Avannaata kommunia,2011,In,1
35,Lower,Female,d. Avannaata kommunia,2011,In,2
35,Upper,Female,d. Avannaata kommunia,2011,In,1
36,Lower,Female,d. Avannaata kommunia,2011,In,1
36,Upper,Female,d. Avannaata kommunia,2011,In,1
37,Lower,Female,d. Avannaata kommunia,2011,In,1
37,Upper,Female,d. Avannaata kommunia,2011,In,2
38,Lower,Female,d. Avannaata kommunia,2011,In,2
38,Upper,Female,d. Avannaata kommunia,2011,In,2
39,Lower,Female,d. Avannaata kommunia,2011,In,1
39,Upper,Female,d. Avannaata kommunia,2011,In,3
40,Lower,Female,d. Avannaata kommunia,2011,In,1
40,Upper,Female,d. Avannaata kommunia,2011,In,1
41,Lower,Female,d. Avannaata kommunia,2011,In,0
41,Upper,Female,d. Avannaata kommunia,2011,In,2
42,Lower,Female,d. Avannaata kommunia,2011,In,1
42,Upper,Female,d. Avannaata kommunia,2011,In,5
43,Lower,Female,d. Avannaata kommunia,2011,In,3
43,Upper,Female,d. Avannaata kommunia,2011,In,2
