age,sex,time,count
0,Female,2010,418
1,Female,2010,424
2,Female,2010,374
3,Female,2010,388
4,Female,2010,416
5,Female,2010,407
6,Female,2010,401
7,Female,2010,384
8,Female,2010,443
9,Female,2010,410
10,Female,2010,402
11,Female,2010,422
12,Female,2010,417
13,Female,2010,471
14,Female,2010,448
15,Female,2010,436
16,Female,2010,378
17,Female,2010,446
18,Female,2010,499
19,Female,2010,476
20,Female,2010,477
21,Female,2010,466
22,Female,2010,476
23,Female,2010,427
24,Female,2010,391
25,Female,2010,405
26,Female,2010,382
27,Female,2010,371
28,Female,2010,400
29,Female,2010,417
30,Female,2010,374
31,Female,2010,356
32,Female,2010,317
33,Female,2010,306
34,Female,2010,314
35,Female,2010,309
36,Female,2010,259
37,Female,2010,275
38,Female,2010,303
39,Female,2010,314
40,Female,2010,320
41,Female,2010,403
42,Female,2010,499
43,Female,2010,487
44,Female,2010,552
45,Female,2010,484
46,Female,2010,552
47,Female,2010,506
48,Female,2010,446
49,Female,2010,496
50,Female,2010,428
51,Female,2010,390
52,Female,2010,381
53,Female,2010,334
54,Female,2010,342
55,Female,2010,307
56,Female,2010,295
57,Female,2010,279
58,Female,2010,242
59,Female,2010,228
60,Female,2010,258
61,Female,2010,176
62,Female,2010,142
63,Female,2010,183
64,Female,2010,183
65,Female,2010,162
66,Female,2010,169
67,Female,2010,152
68,Female,2010,174
69,Female,2010,121
70,Female,2010,139
71,Female,2010,100
72,Female,2010,88
73,Female,2010,104
74,Female,2010,87
75,Female,2010,89
76,Female,2010,76
77,Female,2010,77
78,Female,2010,61
79,Female,2010,62
80,Female,2010,68
81,Female,2010,62
82,Female,2010,36
83,Female,2010,26
84,Female,2010,26
85,Female,2010,25
86,Female,2010,17
87,Female,2010,9
88,Female,2010,6
89,Female,2010,5
90,Female,2010,1
91,Female,2010,9
92,Female,2010,2
93,Female,2010,2
94,Female,2010,4
95,Female,2010,0
96,Female,2010,1
97,Female,2010,0
98,Female,2010,0
99,Female,2010,0
100+,Female,2010,1
0,Male,2010,444
1,Male,2010,467
