age,sex,region,time,count
0,Female,d. Avannaata kommunia,2010,98
1,Female,d. Avannaata kommunia,2010,92
2,Female,d. Avannaata kommunia,2010,85
3,Female,d. Avannaata kommunia,2010,70
4,Female,d. Avannaata kommunia,2010,91
5,Female,d. Avannaata kommunia,2010,80
6,Female,d. Avannaata kommunia,2010,78
7,Female,d. Avannaata kommunia,2010,72
8,Female,d. Avannaata kommunia,2010,96
9,Female,d. Avannaata kommunia,2010,73
10,Female,d. Avannaata kommunia,2010,79
11,Female,d. Avannaata kommunia,2010,85
12,Female,d. Avannaata kommunia,2010,89
13,Female,d. Avannaata kommunia,2010,94
14,Female,d. Avannaata kommunia,2010,105
15,Female,d. Avannaata kommunia,2010,106
16,Female,d. Avannaata kommunia,2010,70
17,Female,d. Avannaata kommunia,2010,93
18,Female,d. Avannaata kommunia,2010,98
19,Female,d. Avannaata kommunia,2010,83
20,Female,d. Avannaata kommunia,2010,81
21,Female,d. Avannaata kommunia,2010,98
22,Female,d. Avannaata kommunia,2010,86
23,Female,d. Avannaata kommunia,2010,81
24,Female,d. Avannaata kommunia,2010,69
25,Female,d. Avannaata kommunia,2010,70
26,Female,d. Avannaata kommunia,2010,67
27,Female,d. Avannaata kommunia,2010,78
28,Female,d. Avannaata kommunia,2010,82
29,Female,d. Avannaata kommunia,2010,82
30,Female,d. Avannaata kommunia,2010,62
31,Female,d. Avannaata kommunia,2010,66
32,Female,d. Avannaata kommunia,2010,68
33,Female,d. Avannaata kommunia,2010,68
34,Female,d. Avannaata kommunia,2010,59
35,Female,d. Avannaata kommunia,2010,67
36,Female,d. Avannaata kommunia,2010,51
37,Female,d. Avannaata kommunia,2010,58
38,Female,d. Avannaata kommunia,2010,66
39,Female,d. Avannaata kommunia,2010,65
40,Female,d. Avannaata kommunia,2010,56
41,Female,d. Avannaata kommunia,2010,81
42,Female,d. Avannaata kommunia,2010,103
43,Female,d. Avannaata kommunia,2010,94
44,Female,d. Avannaata kommunia,2010,109
45,Female,d. Avannaata kommunia,2010,93
46,Female,d. Avannaata kommunia,2010,90
47,Female,d. Avannaata kommunia,2010,95
48,Female,d. Avannaata kommunia,2010,86
49,Female,d. Avannaata kommunia,2010,91
50,Female,d. Avannaata kommunia,2010,67
